State,Total
Alabama,206
Arizona,138
Arkansas,43
California,721
Colorado,4
Connecticut,10
Delaware,20
Florida,398
Georgia,103
Idaho,16
Illinois,16
Indiana,14
Kansas,9
Kentucky,36
Louisiana,86
Maryland,5
Mississippi,60
Missouri,50
Montana,2
Nebraska,12
Nevada,81
New Hampshire,1
New Mexico,2
North Carolina,165
Ohio,159
Oklahoma,77
Oregon,34
Pennsylvania,219
South Carolina,63
South Dakota,3
Tennessee,87
Texas,321
Utah,9
Virginia,11
Washington,9
Wyoming,1
